Paper ID,Year,Authours,Title,Venue,Decision,Category,Priority,Notes,URL/DOI
LZSV7IQS,2025,"Alevizos, Lampis",The AI Security Zugzwang,arxiv,Include,AI Sec Econ,High,"Latest work, presents ""AI Security Zugswang""",10.48550/arXiv.2502.06000
QB6X4C7E,2025,"Hazra, Sanchaita; Majumder, Bodhisattwa Prasad; Chakrabarty, Tuhin",AI Safety Should Prioritize the Future of Work,arxiv,Exclude,,,"Not AI Security focused, and economically focuses on fair compensation mechanisms re. data and model training",10.48550/arXiv.2504.13959
HMNDI8XH,2021,"Oseni, Ayodeji; Moustafa, Nour; Janicke, Helge; Liu, Peng; Tari, Zahir; Vasilakos, Athanasios",Security and Privacy for Artificial Intelligence: Opportunities and Challenges,arxiv,Include,AI Security,Medium,"Systematic review of AI Security, lots of information about state of AI, AI security threats/risks. Adapative defences mentioned.",10.48550/arXiv.2102.04661
KAR9ETDZ,,,Ten Principles of AI Agent Economics,arxiv,Maybe,AI Agent Econ,Medium,"The economics of AI agents is the bleeding edge. Could be worth reviewing just to ensure that if newer potential AI economic references are included, I am aware of them",https://arxiv.org/html/2505.20273v1
9GZX7YXK,,,Gradual Disempowerment: Systemic Existential Risks from Incremental AI Development,arxiv,Exclude,,,"AI Safety-centric, out of scope for my review and focus",https://arxiv.org/html/2501.16946v2
69V4PDT5,2024,"Bono, James; Grana, Justin; Xu, Alec",Generative AI and Security Operations Center Productivity: Evidence from Live Operations,arxiv,Include,AI in Security,Medium,"Contains observational data from SOC use of GAI, has positive findings in MTTR decrease with GAI. Useful for empirically validating AI use is valuable in enterprise environments.",10.48550/arXiv.2411.03116
YV55CIRT,2025,"Bhatt, Manish; Rosario, Ronald F. Del; Narajala, Vineeth Sai; Habler, Idan",COALESCE: Economic and Security Dynamics of Skill-Based Task Outsourcing Among Team of Autonomous LLM Agents,arxiv,Maybe,AI Economics,Medium,Focuses on modelling economic benefits of AI agents given inference costs. Proposes an architecture for economically bound task specialisation for AI agents. Has empirical validation. It's tangentially related to AI Security economics but more parallel than overlapping.,10.48550/arXiv.2506.01900
ZFDJTID2,,,III. Artificial intelligence and the economy: implications for central banks,,Exclude,,,"Not related to any of the core categories for my literature review, and not a foundational work in it's own category",
GMMLVZEX,2025,"Guo, Wenbo; Potter, Yujin; Shi, Tianneng; Wang, Zhun; Zhang, Andy; Song, Dawn",Frontier AI's Impact on the Cybersecurity Landscape,arxiv,Include,AI Security,High,Focuses on near-future impacts of AI on cybersecurity. Positions benefits temporally and categorically for defenders/attackers. Provides recommendations for AI security. Important authours.,10.48550/arXiv.2504.05408
NE5MEKTM,,"Acemoglu, Daron",The Simple Macroeconomics of AI,,Include,AI Economics,High,"Foundational work in AI economics. Is reasonably evenhanded about economic impacts on labour, as well as economic benefits of AI integration in workforce. Talks to negative social value of new tasks created by AI",
MCCJCI3E,,,Generative AI Security: Challenges and Countermeasures,,Exclude,,,Too general on AI security and not a foundational work.,https://arxiv.org/html/2402.12617v2
RYUHQ25M,2013,"Alpcan, Tansu",Game Theory for Security,Encyclopedia of Systems and Control,Include,Game Theory for Security,High,Important GT and Sec work. ,https://link.springer.com/rwe/10.1007/978-1-4471-5102-9_37-1
XXCG756C,2012,"Tambe, Milind; Jain, Manish; Pita, James Adam; Jiang, Albert Xin","Game theory for security: Key algorithmic principles, deployed systems, lessons learned","2012 50th Annual Allerton Conference on Communication, Control, and Computing (Allerton)",Include,Game Theory for Security,High,Practical and real-world application of GT within security,http://ieeexplore.ieee.org/document/6483443/
