"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LZSV7IQS","preprint","2025","Alevizos, Lampis","The AI Security Zugzwang","","","","10.48550/arXiv.2502.06000","http://arxiv.org/abs/2502.06000","In chess, zugzwang describes a scenario where any move worsens the player's position. Organizations face a similar dilemma right now at the intersection of artificial intelligence (AI) and cybersecurity. AI adoption creates an inevitable paradox: delaying it poses strategic risks, rushing it introduces poorly understood vulnerabilities, and even incremental adoption leads to cascading complexities. In this work we formalize this challenge as the AI Security Zugzwang, a phenomenon where security leaders must make decisions under conditions of inevitable risk. Grounded in game theory, security economics, and organizational decision theory, we characterize AI security zugzwang through three key properties, the forced movement, predictable vulnerability creation, and temporal pressure. Additionally, we develop a taxonomy to categorize forced-move scenarios across AI adoption, implementation, operational and governance contexts and provide corresponding strategic mitigations. Our framework is supported by a practical decision flowchart, demonstrated through a real-world example of Copilot adoption, thus, showing how security lead","2025-02-09","2025-07-17 05:00:22","2025-07-17 05:00:22","2025-07-17 05:00:22","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2502.06000 [cs]","","C:\Users\TinyAIs\Zotero\storage\JXCABKN8\Alevizos - 2025 - The AI Security Zugzwang.pdf; C:\Users\TinyAIs\Zotero\storage\QZ6AQE2B\2502.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2502.06000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QB6X4C7E","preprint","2025","Hazra, Sanchaita; Majumder, Bodhisattwa Prasad; Chakrabarty, Tuhin","AI Safety Should Prioritize the Future of Work","","","","10.48550/arXiv.2504.13959","http://arxiv.org/abs/2504.13959","Current efforts in AI safety prioritize filtering harmful content, preventing manipulation of human behavior, and eliminating existential risks in cybersecurity or biosecurity. While pressing, this narrow focus overlooks critical human-centric considerations that shape the long-term trajectory of a society. In this position paper, we identify the risks of overlooking the impact of AI on the future of work and recommend comprehensive transition support towards the evolution of meaningful labor with human agency. Through the lens of economic theories, we highlight the intertemporal impacts of AI on human livelihood and the structural changes in labor markets that exacerbate income inequality. Additionally, the closed-source approach of major stakeholders in AI development resembles rent-seeking behavior through exploiting resources, breeding mediocrity in creative labor, and monopolizing innovation. To address this, we argue in favor of a robust international copyright anatomy supported by implementing collective licensing that ensures fair compensation mechanisms for using data to train AI models. We strongly recommend a pro-worker framework of global AI governance to enhance shared prosperity and economic justice while reducing technical debt.","2025-07-11","2025-07-17 05:00:54","2025-07-17 05:00:54","2025-07-17 05:00:54","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.13959 [cs]","","C:\Users\TinyAIs\Zotero\storage\S423XU2N\Hazra et al. - 2025 - AI Safety Should Prioritize the Future of Work.pdf; C:\Users\TinyAIs\Zotero\storage\SH5AE52N\2504.html","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Computers and Society; Economics - General Economics; Quantitative Finance - Economics","","","","","","","","","","","","","","","","","","","arXiv:2504.13959","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMNDI8XH","preprint","2021","Oseni, Ayodeji; Moustafa, Nour; Janicke, Helge; Liu, Peng; Tari, Zahir; Vasilakos, Athanasios","Security and Privacy for Artificial Intelligence: Opportunities and Challenges","","","","10.48550/arXiv.2102.04661","http://arxiv.org/abs/2102.04661","The increased adoption of Artificial Intelligence (AI) presents an opportunity to solve many socio-economic and environmental challenges; however, this cannot happen without securing AI-enabled technologies. In recent years, most AI models are vulnerable to advanced and sophisticated hacking techniques. This challenge has motivated concerted research efforts into adversarial AI, with the aim of developing robust machine and deep learning models that are resilient to different types of adversarial scenarios. In this paper, we present a holistic cyber security review that demonstrates adversarial attacks against AI applications, including aspects such as adversarial knowledge and capabilities, as well as existing methods for generating adversarial examples and existing cyber defence models. We explain mathematical AI models, especially new variants of reinforcement and federated learning, to demonstrate how attack vectors would exploit vulnerabilities of AI models. We also propose a systematic framework for demonstrating attack techniques against AI applications and reviewed several cyber defences that would protect AI applications against those attacks. We also highlight the importance of understanding the adversarial goals and their capabilities, especially the recent attacks against industry applications, to develop adaptive defences that assess to secure AI applications. Finally, we describe the main challenges and future research directions in the domain of security and privacy of AI technologies.","2021-02-09","2025-07-17 05:01:22","2025-07-17 05:01:22","2025-07-17 05:01:22","","","","","","","Security and Privacy for Artificial Intelligence","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2102.04661 [cs]","","C:\Users\TinyAIs\Zotero\storage\CWZL8ZHE\Oseni et al. - 2021 - Security and Privacy for Artificial Intelligence Opportunities and Challenges.pdf; C:\Users\TinyAIs\Zotero\storage\LE3ZJSDU\2102.html","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2102.04661","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAR9ETDZ","webpage","","","Ten Principles of AI Agent Economics","","","","","https://arxiv.org/html/2505.20273v1","","","2025-07-17 05:01:30","2025-07-17 05:01:30","2025-07-17 05:01:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GZX7YXK","webpage","","","Gradual Disempowerment: Systemic Existential Risks from Incremental AI Development","","","","","https://arxiv.org/html/2501.16946v2","","","2025-07-17 05:01:38","2025-07-17 05:01:38","2025-07-17 05:01:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69V4PDT5","preprint","2024","Bono, James; Grana, Justin; Xu, Alec","Generative AI and Security Operations Center Productivity: Evidence from Live Operations","","","","10.48550/arXiv.2411.03116","http://arxiv.org/abs/2411.03116","We measure the association between generative AI (GAI) tool adoption and security operations center productivity. We find that GAI adoption is associated with a 30.13% reduction in security incident mean time to resolution. This result is robust to several modeling decisions. While unobserved confounders inhibit causal identification, this result is among the first to use observational data from live operations to investigate the relationship between GAI adoption and security worker productivity.","2024-11-13","2025-07-17 05:01:55","2025-07-17 05:01:55","2025-07-17 05:01:55","","","","","","","Generative AI and Security Operations Center Productivity","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2411.03116 [econ]","","C:\Users\TinyAIs\Zotero\storage\RY2JNQNR\Bono et al. - 2024 - Generative AI and Security Operations Center Productivity Evidence from Live Operations.pdf","","","Economics - General Economics; Quantitative Finance - Economics","","","","","","","","","","","","","","","","","","","arXiv:2411.03116","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YV55CIRT","preprint","2025","Bhatt, Manish; Rosario, Ronald F. Del; Narajala, Vineeth Sai; Habler, Idan","COALESCE: Economic and Security Dynamics of Skill-Based Task Outsourcing Among Team of Autonomous LLM Agents","","","","10.48550/arXiv.2506.01900","http://arxiv.org/abs/2506.01900","The meteoric rise and proliferation of autonomous Large Language Model (LLM) agents promise significant capabilities across various domains. However, their deployment is increasingly constrained by substantial computational demands, specifically for Graphics Processing Unit (GPU) resources. This paper addresses the critical problem of optimizing resource utilization in LLM agent systems. We introduce COALESCE (Cost-Optimized and Secure Agent Labour Exchange via Skill-based Competence Estimation), a novel framework designed to enable autonomous LLM agents to dynamically outsource specific subtasks to specialized, cost-effective third-party LLM agents. The framework integrates mechanisms for hybrid skill representation, dynamic skill discovery, automated task decomposition, a unified cost model comparing internal execution costs against external outsourcing prices, simplified market-based decision-making algorithms, and a standardized communication protocol between LLM agents. Comprehensive validation through 239 theoretical simulations demonstrates 41.8\% cost reduction potential, while large-scale empirical validation across 240 real LLM tasks confirms 20.3\% cost reduction with proper epsilon-greedy exploration, establishing both theoretical viability and practical effectiveness. The emergence of proposed open standards like Google's Agent2Agent (A2A) protocol further underscores the need for frameworks like COALESCE that can leverage such standards for efficient agent interaction. By facilitating a dynamic market for agent capabilities, potentially utilizing protocols like A2A for communication, COALESCE aims to significantly reduce operational costs, enhance system scalability, and foster the emergence of specialized agent economies, making complex LLM agent functionalities more accessible and economically viable.","2025-06-02","2025-07-17 05:02:55","2025-07-17 05:02:55","2025-07-17 05:02:55","","","","","","","COALESCE","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2506.01900 [cs]","","C:\Users\TinyAIs\Zotero\storage\YLMQNPTI\Bhatt et al. - 2025 - COALESCE Economic and Security Dynamics of Skill-Based Task Outsourcing Among Team of Autonomous LL.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computational Engineering, Finance, and Science; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2506.01900","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFDJTID2","journalArticle","","","III. Artificial intelligence and the economy: implications for central banks","","","","","","","","2025-07-17 05:03:06","2025-07-17 05:03:06","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\TinyAIs\Zotero\storage\KB4RNKUW\III. Artificial intelligence and the economy implications for central banks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMMLVZEX","preprint","2025","Guo, Wenbo; Potter, Yujin; Shi, Tianneng; Wang, Zhun; Zhang, Andy; Song, Dawn","Frontier AI's Impact on the Cybersecurity Landscape","","","","10.48550/arXiv.2504.05408","http://arxiv.org/abs/2504.05408","As frontier AI advances rapidly, understanding its impact on cybersecurity and inherent risks is essential to ensuring safe AI evolution (e.g., guiding risk mitigation and informing policymakers). While some studies review AI applications in cybersecurity, none of them comprehensively discuss AI's future impacts or provide concrete recommendations for navigating its safe and secure usage. This paper presents an in-depth analysis of frontier AI's impact on cybersecurity and establishes a systematic framework for risk assessment and mitigation. To this end, we first define and categorize the marginal risks of frontier AI in cybersecurity and then systemically analyze the current and future impacts of frontier AI in cybersecurity, qualitatively and quantitatively. We also discuss why frontier AI likely benefits attackers more than defenders in the short term from equivalence classes, asymmetry, and economic impact. Next, we explore frontier AI's impact on future software system development, including enabling complex hybrid systems while introducing new risks. Based on our findings, we provide security recommendations, including constructing fine-grained benchmarks for risk assessment, designing AI agents for defenses, building security mechanisms and provable defenses for hybrid systems, enhancing pre-deployment security testing and transparency, and strengthening defenses for users. Finally, we present long-term research questions essential for understanding AI's future impacts and unleashing its defensive capabilities.","2025-04-14","2025-07-17 05:03:07","2025-07-17 05:03:07","2025-07-17 05:03:07","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.05408 [cs]","","C:\Users\TinyAIs\Zotero\storage\RZK84KSQ\Guo et al. - 2025 - Frontier AI's Impact on the Cybersecurity Landscape.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computers and Society; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2504.05408","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NE5MEKTM","journalArticle","","Acemoglu, Daron","The Simple Macroeconomics of AI","","","","","","This paper evaluates claims about the large macroeconomic implications of new advances in AI. It starts from a task-based model of AI’s eﬀects, working through automation and task complementarities. It establishes that, so long as AI’s microeconomic eﬀects are driven by cost savings/productivity improvements at the task level, its macroeconomic consequences will be given by a version of Hulten’s theorem: GDP and aggregate productivity gains can be estimated by what fraction of tasks are impacted and average task-level cost savings. Using existing estimates on exposure to AI and productivity improvements at the task level, these macroeconomic eﬀects appear nontrivial but modest—no more than a 0.71% increase in total factor productivity over 10 years. The paper then argues that even these estimates could be exaggerated, because early evidence is from easy-to-learn tasks, whereas some of the future eﬀects will come from hard-to-learn tasks, where there are many context-dependent factors aﬀecting decision-making and no objective outcome measures from which to learn successful performance. Consequently, predicted TFP gains over the next 10 years are even more modest and are predicted to be less than 0.55%. I also explore AI’s wage and inequality eﬀects. I show theoretically that even when AI improves the productivity of low-skill workers in certain tasks (without creating new tasks for them), this may increase rather than reduce inequality. Empirically, I ﬁnd that AI advances are unlikely to increase inequality as much as previous automation technologies because their impact is more equally distributed across demographic groups, but there is also no evidence that AI will reduce labor income inequality. AI is also predicted to widen the gap between capital and labor income. Finally, some of the new tasks created by AI may have negative social value (such as design of algorithms for online manipulation), and I discuss how to incorporate the macroeconomic eﬀects of new tasks that may have negative social value.","","2025-07-17 05:03:14","2025-07-17 05:03:14","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\TinyAIs\Zotero\storage\TAAGRRQK\Acemoglu - The Simple Macroeconomics of AI.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
